src,dst
150,3590
57,1147
2913,3427
337,3416
2567,2790
2627,2841
3501,3597
2374,2395
2248,3976
675,3411
2915,3473
193,2913
2495,3853
3255,3541
237,3185
10,3960
2573,2955
435,3200
691,911
1557,2523
698,1301
2678,3910
2589,3838
3415,3422
994,1070
3074,3129
1396,2016
492,3303
2388,2801
1211,2236
146,2666
2239,2678
835,2888
181,2098
3665,3947
1392,2247
1113,2832
1892,2570
543,2487
888,3653
855,1261
535,1845
628,2036
1357,2411
1717,2754
373,763
1757,3284
716,1102
2299,3109
437,1687
1777,3936
1811,3520
629,2611
684,2318
1616,2298
310,3797
2545,2761
2946,3859
461,3966
151,2986
32,820
433,1918
1763,2725
1672,3361
985,2431
2356,3993
3572,3732
485,1327
526,1328
643,1913
385,1877
1582,3818
1379,2735
14,2873
671,928
2006,2833
1629,2883
2558,3346
691,2334
1568,2607
2841,2880
38,234
1497,3895
1135,2725
1073,1847
2064,3188
727,1210
2616,3701
1535,3598
866,4028
1246,3495
377,831
210,2411
2608,3059
405,2098
2363,3228
928,1873
675,3679
3599,3619
89,1303
1148,3310
1323,1621
1197,2448
3220,3973
2069,2377
1293,2910
44,779
606,1980
389,3443
297,3854
442,825
204,1411
1376,1632
2661,3420
1883,3126
971,3798
1320,3952
1628,1853
1062,3162
501,651
933,1062
1724,2315
260,2474
2622,3465
2679,3999
406,1545
369,2417
1098,2792
2080,2135
898,1226
1371,1638
3699,3799
2324,2495
121,1534
1799,3778
1830,3091
560,1581
369,2767
728,2885
234,2350
1442,2228
1892,3188
980,3860
2038,2259
2819,2824
49,318
2631,3527
628,2654
910,1586
1378,3906
701,1412
3609,3882
1031,3044
341,2597
375,1427
655,3696
1866,3845
684,2936
1830,1936
405,3521
723,2110
431,2490
434,2007
2280,2896
64,976
1363,2470
957,1782
2832,3409
1022,2177
819,2572
3209,3359
413,1130
1555,2640
552,3948
254,319
1553,2567
176,436
2698,3594
714,1243
122,1331
1755,2701
521,1602
1642,2235
23,1325
1767,3435
1199,3917
1507,1818
103,2028
1722,3692
1914,3862
3032,3066
230,1022
445,2896
717,1140
1159,1485
3179,3493
135,1916
226,3532
1305,1310
2163,3785
351,2480
2056,3164
908,1085
27,3322
2308,3385
3084,3606
1308,1958
310,3610
220,684
748,3055
1118,1834
1894,2055
1108,1146
2235,2348
672,3999
620,1557
3044,3426
1461,2173
900,3826
1516,1880
2414,3030
2049,2343
523,1624
583,1675
1668,2651
835,1896
1757,1942
418,2547
330,448
767,1203
879,1444
268,3734
162,1803
320,3143
318,2316
748,1900
130,3019
1625,2173
418,2897
530,3892
678,3790
2173,2944
772,3425
1871,2579
1733,2645
2264,2281
1240,1958
180,2732
2453,2934
1367,1733
584,1095
1203,2830
898,2194
270,2625
2608,3222
2381,3997
2759,3391
1298,3067
665,3154
319,2517
2605,2924
105,3497
511,2687
43,367
2214,2544
1037,1979
2623,2749
849,1928
1188,2148
3500,3776
904,2389
1633,2010
1776,2318
3307,3381
2627,3622
93,3113
36,2579
872,2851
2028,2539
3456,3854
1214,3719
2329,2652
1181,1327
3662,3730
3266,3730
778,3566
1117,3786
217,1809
3078,3679
867,2857
115,1532
643,3149
2637,3936
1078,3077
861,2288
2036,2780
2481,2642
51,204
3709,3926
761,2057
3808,3905
1656,2909
1594,2031
355,588
2380,2940
904,1584
250,3046
558,947
34,947
655,3509
2033,2078
2646,3998
1082,2795
717,2108
1954,2724
25,834
214,733
1138,3104
0,2467
333,2118
546,2411
541,2067
1475,3628
980,2868
380,3812
1464,1934
2250,2843
2895,3547
1651,1760
1434,3223
2588,2838
685,1415
129,3412
3481,3644
160,3479
812,1190
1340,3561
210,2842
3384,3711
2014,2751
1613,2407
116,2426
3235,3588
993,2699
2891,3778
2549,3260
1766,2622
2757,3963
295,1610
234,3586
927,1298
485,953
46,3535
581,661
1567,2412
1520,2566
2108,2736
2217,2679
689,1133
2034,3726
532,1149
1877,2988
1469,1473
127,3315
748,1713
1814,2639
245,338
33,2899
907,3655
1210,3464
962,3362
645,1211
2623,3717
3050,3784
1178,3926
1841,3681
1891,3044
241,569
266,1565
204,687
1890,3573
1888,2746
1143,2592
336,806
2473,3399
1984,3208
1583,2110
1543,2711
3105,3841
1572,1951
173,2505
2819,3255
1637,2346
548,1628
2129,2808
702,1314
2027,2531
39,2690
2289,3440
2274,2408
2031,2650
1315,3234
2471,2922
1750,3162
217,1272
36,2392
1374,3814
1780,2250
2530,3502
2965,3430
344,3676
2639,3445
985,3480
1518,3943
148,2983
170,1052
2540,3816
17,3439
2066,3933
755,924
261,3799
1319,2952
1324,3296
455,632
1415,2660
572,1217
1069,2023
1840,1900
45,2454
322,1042
1946,3050
2940,3908
882,3328
1713,3256
1661,3066
976,2963
465,3979
1406,2547
1626,4011
2989,3800
3806,4022
2496,3867
2014,3369
2017,3640
155,2218
2108,3004
368,3265
151,3230
1615,3071
2828,3293
591,2748
1608,1900
1047,3553
3268,3565
1021,2332
2201,2414
1258,1521
2947,3924
22,3759
3033,3698
765,1588
1730,3960
1793,2030
1605,2733
412,3163
782,1942
1628,2902
1529,2896
417,474
1429,2692
2590,2724
307,2588
1371,2687
476,1054
1491,2789
335,849
457,2532
183,3461
85,674
654,3046
1733,3076
334,3630
1464,2097
578,3990
53,1136
834,1701
1357,3728
204,1305
1391,2558
1833,3657
1984,3826
580,4036
275,3400
1137,2641
760,2691
1018,1229
1530,2343
692,1244
2157,2441
2943,3350
285,331
407,2014
792,1825
3156,3643
842,1188
1635,3268
95,207
817,3575
1906,2041
1185,1527
3301,3997
408,1835
2803,2966
1182,1229
442,1419
1001,3103
306,1558
1204,2708
1706,3858
1800,3493
642,726
363,1311
951,1481
617,2359
433,552
266,1378
338,3698
1671,4022
2757,2971
356,1271
299,737
1704,3381
1730,2350
3256,3823
353,973
972,2708
449,1435
1748,2929
2472,2960
763,2534
352,1502
875,2775
197,3843
66,916
310,1276
442,3647
929,3011
306,3786
3647,3829
500,619
713,1666
1595,2283
3173,3946
153,511
1436,1472
1579,4032
2334,2622
751,1369
271,3950
336,2847
1852,2878
1060,2124
1330,3705
3510,3716
764,1604
20,3550
1135,3237
1895,2925
1580,1601
2447,3438
908,979
321,3663
137,1856
2258,3916
1467,2663
2347,3207
3271,3326
323,1457
2245,2930
1945,2638
32,527
2554,3685
565,1744
3715,3717
320,1159
473,2155
2702,3556
1329,3079
1358,1565
2545,2818
2990,3434
3417,3501
2508,3690
3628,3721
1088,3367
1976,3829
398,2920
0,2093
432,1750
2455,3275
2541,3049
1978,3875
647,2843
2999,3146
74,2981
1975,3577
1569,2135
266,3151
1420,2012
3099,3727
3242,4035
141,1170
3054,3984
3093,3912
2215,3414
2991,3635
2898,3444
697,2556
601,2848
2309,3049
561,3449
2299,2361
2364,2756
1342,4014
3303,3907
1097,3429
2415,3475
95,1175
2170,2890
3352,3799
1428,2253
1581,2495
956,3197
2107,2541
2318,2761
275,3213
1765,2023
478,3572
3043,3394
109,1231
410,2125
2412,2773
1438,2567
1589,2736
2091,3886
4,656
1401,2685
3648,3918
1497,3147
2333,3419
992,1699
785,3850
3012,3707
1501,4020
2564,2763
3488,3636
2762,2778
1210,3090
191,3865
751,1987
1183,1644
1735,2157
1334,1813
675,2931
993,1520
1495,2670
2104,3717
1794,2737
109,3459
1604,2613
293,3768
919,2510
2142,3420
2080,2542
138,1945
1791,2439
1827,2096
1541,2264
3597,3929
890,991
1876,1988
1220,2623
1139,1695
1813,3137
383,2880
1195,2004
1945,3256
1654,2326
3997,4021
2130,2255
1158,2876
1715,3733
1467,3631
218,1500
718,1823
1991,2850
530,2526
2051,2901
2046,2557
996,1013
213,375
397,2936
1204,1716
2339,2779
524,1957
2492,3775
3130,3308
2739,3652
2601,3718
197,2501
1327,3220
1203,1464
2158,3148
1762,3148
2696,3955
1574,3851
103,2085
664,3815
1435,3692
1500,1835
317,3707
1843,2174
1184,3292
119,2968
1309,2240
741,2722
2399,3560
317,674
1611,1824
360,3030
1712,2630
2011,2697
426,617
307,3369
391,1562
989,3174
180,561
1135,2245
2195,2225
2697,3375
1767,2687
702,2363
697,2019
1098,3117
3584,3612
1003,3257
261,2620
1685,3062
2805,3093
446,1619
162,1860
1776,3180
1657,1768
253,1978
1004,3832
1002,3005
1033,2318
222,3796
631,4001
225,3313
316,2677
777,3826
746,2261
472,3190
178,2743
964,3652
1394,3236
186,352
241,813
922,3426
1579,2235
1336,2477
2107,2354
2666,4038
1604,3231
3252,3381
3350,3916
2577,3966
428,4022
643,978
510,1388
1043,1851
1819,2072
322,2091
1196,2847
986,1317
2565,3582
2341,3874
73,2518
948,1964
406,1415
913,2909
1830,2611
131,2873
64,1651
347,3437
213,993
94,3745
1274,3827
704,1230
246,352
141,2056
276,1692
1854,3355
885,3493
976,2857
914,1979
893,1102
544,948
397,3904
1486,1616
1598,2611
1634,2268
510,583
2626,3053
759,1287
2039,3485
196,2867
1743,2211
2195,3998
2589,3171
1154,1816
156,3468
1560,3258
2781,3341
534,2108
1382,3895
697,3792
2146,2601
2273,2376
3525,4024
91,1538
523,1949
2866,2890
278,1364
462,3925
3022,3403
1186,3956
782,3341
1270,2149
519,1426
1264,2334
1016,2232
2146,2951
950,3864
177,1662
120,1128
1824,3839
361,436
77,677
230,3925
2501,3300
2131,2269
2211,2972
2312,3778
2843,3414
873,1523
1275,2469
934,2176
593,1883
1522,3100
1988,3839
739,1708
1124,2273
1344,3737
2399,3373
869,1000
683,1776
2078,3732
1610,2166
550,2186
1763,2408
2203,2680
730,841
1229,2474
676,3988
1822,2988
1142,3229
1075,2007
1968,2813
1166,1371
789,1421
393,1421
2566,3671
1886,3912
236,1437
1473,2053
845,2484
160,2381
2806,3131
1345,2807
3344,3938
3055,3835
1976,3805
1933,2977
260,2962
1719,2459
602,1945
510,2356
1677,2233
1721,2505
2402,2866
3090,3240
492,1026
1001,3347
660,3054
1649,3568
1891,3101
862,3188
610,2186
422,2135
2189,3697
1010,2305
1041,1618
2381,3867
1476,1546
2282,3107
876,3244
540,1043
442,508
1787,2347
2503,2517
763,2778
1214,3239
190,2916
565,2793
107,1161
558,1622
2624,3975
382,3086
217,1329
284,2551
1254,3015
2871,3852
1374,3871
1460,2891
1501,3646
1002,2013
1052,1376
1993,3354
434,2495
1148,1838
339,3389
2243,3502
144,2921
1305,2953
212,581
1229,3897
826,2726
76,1474
805,1849
1261,1900
2575,2928
323,1351
1327,3651
2197,3507
755,981
1417,3544
420,1634
413,463
1378,3589
1631,1783
1070,3436
1842,2003
1320,2830
2086,2363
599,818
538,2794
335,1711
3824,3904
2795,3991
431,2173
897,3666
2110,3888
1220,2599
150,1931
2646,3868
1237,3734
2178,2302
2732,2888
2737,3986
154,2804
1701,2148
391,1993
2734,2934
991,3678
91,1701
76,669
49,2229
1876,3842
1915,3016
330,936
1003,3688
1477,3544
1096,3852
2367,3298
1408,1872
1530,3555
3490,3977
679,1470
333,833
2232,4012
1220,1794
1029,2226
2206,2791
243,2071
328,3118
331,1137
396,1532
1614,2098
826,1116
573,670
1137,2698
232,377
760,2748
1350,3745
2561,3140
536,788
1478,2210
3147,3237
1342,3103
108,2004
1345,2620
1097,2518
1346,3222
441,901
3206,3817
258,1948
653,2477
2268,2487
2087,3607
3259,3828
1741,2970
1746,3314
127,152
834,3986
2207,2211
1300,3227
66,2128
3165,3412
0,3760
365,2195
308,1661
683,784
2823,3648
930,1415
3070,3525
18,2087
479,2482
2817,3079
327,2842
1328,1461
2386,4024
2040,3387
629,3180
470,1615
17,1081
1748,2986
2781,3772
1026,3001
1745,2688
1740,2344
1724,1811
1091,1898
1958,3735
2486,3854
1806,3341
684,3237
1002,1826
3457,3762
1986,1996
2048,3628
150,2549
1514,2940
309,327
1988,2042
1016,2663
1232,3227
55,410
461,1852
2885,3721
979,2781
237,2144
1085,3931
2234,2448
1955,3033
2690,3253
2093,2997
298,3551
950,1262
353,3258
1848,2412
2639,3665
2978,3131
1168,2653
1223,2360
194,2447
1441,3751
418,620
719,2268
1899,2350
1028,3023
971,2489
1473,3639
1562,2176
466,1041
2546,3100
18,127
988,2843
1485,3649
688,2551
1139,3012
1920,3577
1056,1257
1380,3074
1921,3398
2788,2983
601,2555
2782,3168
442,1744
975,2207
1534,3891
2649,2824
3875,4005
3185,3558
812,3906
2209,2525
230,518
39,950
445,2392
1281,2664
2900,3574
2062,3229
3736,3846
1642,3609
126,3578
2803,3641
1244,2782
337,3798
2892,2932
1056,3485
897,2674
1678,2485
1423,1966
1524,2018
1956,2429
423,539
3578,3610
3289,3507
451,1052
1736,3594
2414,2526
2223,3712
1101,2854
2699,2887
15,1653
3150,3348
519,3630
109,1288
140,601
1095,2285
1318,4020
972,3383
191,3572
595,1181
3112,3995
823,3260
2430,3409
501,765
1502,3548
2489,3989
911,3080
1116,3512
653,2290
1809,1978
744,1654
98,725
1092,2337
2274,3246
1985,3143
1527,2265
608,1766
113,1006
2289,2773
2356,2497
52,730
1351,2224
382,2362
3464,3642
167,3871
74,1428
2245,3605
3213,3242
1716,3261
2028,2035
775,2414
2144,3149
1707,3148
2199,2856
626,2291
2300,3662
2979,3950
2354,3898
1820,3210
1085,3744
729,2419
2005,2209
702,3225
2285,2980
382,1557
142,2070
1467,2533
1071,2533
1232,3390
2708,4022
1464,2235
323,1327
2307,3678
2895,3848
2005,2559
692,2887
2116,3329
1488,3760
684,2245
2246,2621
2397,2790
181,870
2987,3787
704,2897
1863,2856
1173,1655
82,864
3781,3833
589,2358
854,3595
2411,3627
2416,3971
84,156
1421,2888
1918,3694
1140,2646
887,2200
2845,3330
2561,3571
694,2559
1132,2004
783,1850
98,993
1097,2949
295,2261
1917,2688
2815,3838
852,3118
107,2210
1247,2893
1054,3252
630,1204
470,3201
910,3473
1498,3643
1866,2349
842,2026
1582,2590
1024,1508
1115,3878
714,2780
2703,3223
857,3088
1576,2021
2357,2586
1302,3704
278,3381
2508,2755
1104,2965
1448,2775
990,1897
861,3207
1148,3237
2072,3356
2416,3166
950,2498
291,3616
1853,3992
1796,3458
707,2740
263,1568
674,1102
1704,3869
3220,3900
2131,3936
766,3320
2168,2283
1194,2077
1342,2729
1813,3812
2589,4033
3308,3720
784,3899
2274,2709
2005,3982
537,989
1495,2190
1932,2945
562,1985
250,932
1934,2237
1296,1980
1837,3058
1081,3489
2917,3690
1547,2730
3315,3736
1854,3412
1575,3997
429,2745
885,3550
1692,2330
179,2570
1626,3962
2381,3306
1608,3356
569,2001
2191,3182
2227,2839
1840,2201
1881,2202
477,2412
754,1000
2037,2715
3274,3331
282,1944
1844,2320
1625,3710
1033,3798
508,944
2244,3193
279,1646
370,1010
3119,3393
805,938
239,2247
691,4034
218,1370
3270,3562
243,3120
3472,3696
2355,3182
3263,3522
639,2339
513,3920
867,2166
247,2458
2509,3999
3280,3876
3087,3481
256,2951
1754,2376
1946,2546
141,1658
1717,2494
1094,3269
3679,3743
873,1580
128,672
1747,2336
2746,3538
57,1960
908,1012
1,2028
674,1370
2024,3553
152,2197
933,2762
23,97
951,2587
2508,3373
1640,3563
86,796
573,914
485,1067
2952,3764
263,2186
1192,2649
3150,3779
1298,3799
383,790
630,667
788,2007
2842,2845
285,632
1071,1541
1589,3224
73,3193
1599,3912
451,1833
229,3706
1719,2516
1254,3877
409,2361
2114,2291
2119,3389
1341,2341
1036,1705
2306,3215
2522,3779
407,2665
1430,2763
454,1730
708,2778
245,802
2289,3204
1489,3343
1883,2516
948,1484
1507,3168
1328,1705
1577,2409
1019,3579
670,3425
317,1617
702,1428
759,1962
733,741
1600,2578
1980,2799
1975,2455
201,3886
1258,3595
1068,3471
1997,3934
1596,3590
2315,2523
316,1392
2714,2794
1740,2588
2278,3395
3556,4012
1304,3189
805,1556
1806,3585
2921,3272
2525,3272
156,1110
997,1726
1241,2086
1585,1896
2483,3046
1767,3630
